법정구코드,구이름,총인구
11010,종로구,150550
11020,중구,131812
11030,용산구,223433
11040,성동구,284258
11050,광진구,350925
11060,동대문구,360211
11070,중랑구,387433
11080,성북구,436901
11090,강북구,291372
11100,도봉구,308864
11110,노원구,501727
11120,은평구,470185
11130,서대문구,320378
11140,마포구,374962
11150,양천구,437774
11160,강서구,567159
11170,구로구,414271
11180,금천구,240680
11190,영등포구,397942
11200,동작구,389576
11210,관악구,497827
11220,서초구,412275
11230,강남구,559720
11240,송파구,659661
11250,강동구,465549
